ID,Country of Origin,Total Cup Points
1,Taiwan,87.58
5,Guatemala,87.0
6,Taiwan,86.92
7,Taiwan,86.75
8,Taiwan,86.67
11,Guatemala,86.25
12,Taiwan,86.25
15,Taiwan,86.08
17,Taiwan,86.08
18,Taiwan,85.92
20,Guatemala,85.75
21,Taiwan,85.67
24,Taiwan,85.58
26,Taiwan,85.5
27,Taiwan,85.5
28,Taiwan,85.5
30,Taiwan,85.42
31,Taiwan,85.33
32,Taiwan,85.33
36,Taiwan,85.25
37,Taiwan,85.25
39,Taiwan,85.17
40,Taiwan,85.08
41,Taiwan,85.08
42,Taiwan,85.08
44,Taiwan,85.0
45,Taiwan,85.0
46,Guatemala,85.0
47,Guatemala,85.0
48,Guatemala,84.92
49,Taiwan,84.92
50,Taiwan,84.83
54,Taiwan,84.83
55,Taiwan,84.75
58,Taiwan,84.75
59,Guatemala,84.67
60,Guatemala,84.67
62,Taiwan,84.58
63,Taiwan,84.58
65,Taiwan,84.58
66,Taiwan,84.58
69,Taiwan,84.5
72,Taiwan,84.5
73,Taiwan,84.42
74,Guatemala,84.33
80,Guatemala,84.25
83,Guatemala,84.08
84,Taiwan,84.08
85,Taiwan,84.08
86,Guatemala,84.08
87,Guatemala,84.0
94,Guatemala,83.92
95,Guatemala,83.92
98,Guatemala,83.83
99,Guatemala,83.83
106,Taiwan,83.67
108,Taiwan,83.67
110,Taiwan,83.58
111,Taiwan,83.58
112,Guatemala,83.58
119,Taiwan,83.42
121,Taiwan,83.33
122,Guatemala,83.33
123,Taiwan,83.33
126,Taiwan,83.33
130,Taiwan,83.25
134,Taiwan,83.17
135,Taiwan,83.17
140,Taiwan,82.92
143,Taiwan,82.92
153,Taiwan,82.58
154,Taiwan,82.58
162,Taiwan,82.5
167,Taiwan,82.33
172,Taiwan,82.08
173,Taiwan,82.08
174,Taiwan,82.0
177,Guatemala,82.0
180,Guatemala,81.92
181,Taiwan,81.83
188,Taiwan,81.58
189,Taiwan,81.5
